Mach,CD
0.01,0.459117412
0.02,0.44382863
0.03,0.426360235
0.04,0.420489371
0.05,0.415687162
0.06,0.411174344
0.07,0.407052977
0.08,0.403311544
0.09,0.39990617
0.1,0.396802366
0.11,0.393956597
0.12,0.391335118
0.13,0.388909204
0.14,0.386654826
0.15,0.384551674
0.16,0.3825826
0.17,0.380733039
0.18,0.378990548
0.19,0.377344437
0.2,0.375785469
0.21,0.374305619
0.22,0.372897877
0.23,0.371556092
0.24,0.370274838
0.25,0.36904931
0.26,0.368028231
0.27,0.367054785
0.28,0.366125553
0.29,0.365237456
0.3,0.36438771
0.31,0.363573826
0.32,0.362793472
0.33,0.362292353
0.34,0.36238869
0.35,0.362485147
0.36,0.362581724
0.37,0.36267842
0.38,0.362775236
0.39,0.362872151
0.4,0.362969203
0.41,0.363066373
0.42,0.36316366
0.43,0.363261063
0.44,0.363358583
0.45,0.3634562
0.46,0.363553951
0.47,0.363651817
0.48,0.363749797
0.49,0.363847891
0.5,0.363946081
0.51,0.364044421
0.52,0.364142836
0.53,0.364241382
0.54,0.36434004
0.55,0.36443881
0.56,0.36453769
0.57,0.364636663
0.58,0.364735765
0.59,0.364834976
0.6,0.364934297
0.61,0.365310574
0.62,0.365677027
0.63,0.36604357
0.64,0.366410238
0.65,0.366777015
0.66,0.367143898
0.67,0.367510869
0.68,0.367877984
0.69,0.368245167
0.7,0.368612474
0.71,0.368979886
0.72,0.369347403
0.73,0.369715006
0.74,0.37008275
0.75,0.37045056
0.76,0.370818492
0.77,0.371186526
0.78,0.371554663
0.79,0.371922883
0.8,0.372291224
0.81,0.372659666
0.82,0.373028209
0.83,0.373396852
0.84,0.373765596
0.85,0.37413442
0.86,0.374503363
0.87,0.374872405
0.88,0.375241546
0.89,0.375610785
0.9,0.375980122
0.91,0.378536787
0.92,0.386206782
0.93,0.397587909
0.94,0.408845172
0.95,0.420102435
0.96,0.431359698
0.97,0.442616961
0.98,0.453874224
0.99,0.465131487
1,0.47638875
1.01,0.487646013
1.02,0.498903276
1.03,0.510160539
1.04,0.521417802
1.05,0.532675065
1.06,0.531353551
1.07,0.530047823
1.08,0.528757441
1.09,0.527481956
1.1,0.526220988
1.11,0.524974093
1.12,0.523740947
1.13,0.522521187
1.14,0.521314431
1.15,0.52013023
1.16,0.518721846
1.17,0.517324142
1.18,0.515944804
1.19,0.51458285
1.2,0.513237657
1.21,0.511908655
1.22,0.51059537
1.23,0.509297397
1.24,0.508014354
1.25,0.506745917
1.26,0.50549178
1.27,0.504251603
1.28,0.503025183
1.29,0.501812217
1.3,0.50061247
1.31,0.499425707
1.32,0.498251704
1.33,0.497090239
1.34,0.495941114
1.35,0.494804147
1.36,0.493679116
1.37,0.492565654
1.38,0.491463135
1.39,0.490371414
1.4,0.489290322
1.41,0.488219766
1.42,0.48715956
1.43,0.486109621
1.44,0.485069801
1.45,0.484039975
1.46,0.483020043
1.47,0.482009878
1.48,0.481009366
1.49,0.480018385
1.5,0.479036851
1.51,0.478064646
1.52,0.477101677
1.53,0.476147822
1.54,0.475203017
1.55,0.474267139
1.56,0.473340106
1.57,0.472421813
1.58,0.471512193
1.59,0.470611164
1.6,0.469718617
1.61,0.468834494
1.62,0.467958681
1.63,0.467091153
1.64,0.466231775
1.65,0.465380535
1.66,0.46453729
1.67,0.463702017
1.68,0.462874651
1.69,0.462055083
1.7,0.461243292
1.71,0.460439196
1.72,0.459642737
1.73,0.458853837
1.74,0.458072463
1.75,0.457298541
1.76,0.456532022
1.77,0.455772859
1.78,0.455020973
1.79,0.454276358
1.8,0.453538906
1.81,0.452808627
1.82,0.452085421
1.83,0.451369293
1.84,0.450660161
1.85,0.449957991
1.86,0.449262772
1.87,0.448574422
1.88,0.44789293
1.89,0.447218237
1.9,0.446550348
1.91,0.445889164
1.92,0.44523469
1.93,0.44458692
1.94,0.44394576
1.95,0.442983019
1.96,0.441961986
1.97,0.440944929
1.98,0.439931747
1.99,0.438922362
2,0.437916732
2.01,0.437027172
2.02,0.436136346
2.03,0.435251144
2.04,0.434371526
2.05,0.433497342
2.06,0.432628569
2.07,0.431765117
2.08,0.430906877
2.09,0.430053802
2.1,0.429205811
2.11,0.428362831
2.12,0.427524779
2.13,0.426691622
2.14,0.425863255
2.15,0.425039635
2.16,0.424220706
2.17,0.423406384
2.18,0.422596614
2.19,0.421791362
2.2,0.420990548
2.21,0.420194112
2.22,0.419402009
2.23,0.418614197
2.24,0.417830609
2.25,0.417051206
2.26,0.41627593
2.27,0.415504735
2.28,0.41473758
2.29,0.413974426
2.3,0.413215195
2.31,0.412459874
2.32,0.411708427
2.33,0.41096079
2.34,0.410216948
2.35,0.409476826
2.36,0.408740408
2.37,0.408007666
2.38,0.407278542
2.39,0.406553016
2.4,0.40583104
2.41,0.4051126
2.42,0.404397641
2.43,0.403686157
2.44,0.402978075
2.45,0.402273385
2.46,0.401572078
2.47,0.400874094
2.48,0.400179435
2.49,0.399488021
2.5,0.398799869
2.51,0.398114938
2.52,0.397433211
2.53,0.396754635
2.54,0.39607922
2.55,0.395406913
2.56,0.394737688
2.57,0.394071549
2.58,0.393408444
2.59,0.392748367
2.6,0.392091284
2.61,0.391437163
2.62,0.390786029
2.63,0.390137801
2.64,0.389492504
2.65,0.388850087
2.66,0.388210559
2.67,0.387573865
2.68,0.386939997
2.69,0.38630896
2.7,0.385680715
2.71,0.385055242
2.72,0.384432518
2.73,0.383812545
2.74,0.383195289
2.75,0.382580741
2.76,0.381968874
2.77,0.381359677
2.78,0.380753148
2.79,0.380149229
2.8,0.379547972
2.81,0.378949295
2.82,0.378353212
2.83,0.377759701
2.84,0.377168756
2.85,0.376580359
2.86,0.37599449
2.87,0.375411139
2.88,0.37483028
2.89,0.374251924
2.9,0.373676034
2.91,0.373102612
2.92,0.372531639
2.93,0.371963087
2.94,0.371396963
2.95,0.370833242
2.96,0.370271922
2.97,0.369712973
2.98,0.36915641
2.99,0.368602193
3,0.368050328
3.01,0.367574682
3.02,0.367100501
3.03,0.366627796
3.04,0.36615656
3.05,0.365686796
3.06,0.365218483
3.07,0.364751638
3.08,0.364286239
3.09,0.36382231
3.1,0.363359812
3.11,0.362898778
3.12,0.36243918
3.13,0.361981019
3.14,0.361524299
3.15,0.361069019
3.16,0.360615159
3.17,0.360162734
3.18,0.359711736
3.19,0.359262165
3.2,0.35881401
3.21,0.358367268
3.22,0.357921945
3.23,0.357478033
3.24,0.357035516
3.25,0.356594402
3.26,0.356154713
3.27,0.355716413
3.28,0.355279497
3.29,0.35484397
3.3,0.354409841
3.31,0.353977092
3.32,0.353545732
3.33,0.353115742
3.34,0.352687135
3.35,0.352259878
3.36,0.351834022
3.37,0.351409508
3.38,0.350986347
3.39,0.350564568
3.4,0.350144142
3.41,0.349725068
3.42,0.349307316
3.43,0.348890927
3.44,0.348475891
3.45,0.348062165
3.46,0.347649784
3.47,0.347238743
3.48,0.346829023
3.49,0.346420614
3.5,0.346013537
3.51,0.345607778
3.52,0.345203311
3.53,0.34480016
3.54,0.344398328
3.55,0.343997793
3.56,0.343598536
3.57,0.343200592
3.58,0.342803936
3.59,0.342408562
3.6,0.342014451
3.61,0.341621643
3.62,0.341230105
3.63,0.340839816
3.64,0.340450817
3.65,0.340063073
3.66,0.339676586
3.67,0.339291346
3.68,0.338907366
3.69,0.33852463
3.7,0.338143123
3.71,0.337762864
3.72,0.337383845
3.73,0.337006059
3.74,0.33662948
3.75,0.336254132
3.76,0.335880003
3.77,0.335507074
3.78,0.335135363
3.79,0.334764866
3.8,0.334395554
3.81,0.334027443
3.82,0.33366054
3.83,0.333294807
3.84,0.332930246
3.85,0.332566891
3.86,0.332204698
3.87,0.331843672
3.88,0.331483813
3.89,0.331125109
3.9,0.330767577
3.91,0.330411176
3.92,0.330055944
3.93,0.329701856
3.94,0.3293489
3.95,0.328997075
3.96,0.328646384
3.97,0.328296829
3.98,0.327948371
3.99,0.327601054
4,0.327254834
4.01,0.32692483
4.02,0.3265959
4.03,0.32626808
4.04,0.325941358
4.05,0.325615697
4.06,0.325291127
4.07,0.324967629
4.08,0.324645218
4.09,0.324323851
4.1,0.324003572
4.11,0.323684341
4.12,0.323366169
4.13,0.32304903
4.14,0.32273296
4.15,0.322417918
4.16,0.322103916
4.17,0.321790944
4.18,0.321479014
4.19,0.321168097
4.2,0.320858195
4.21,0.320549316
4.22,0.320241447
4.23,0.319934573
4.24,0.319628721
4.25,0.319323855
4.26,0.319019983
4.27,0.318717101
4.28,0.318415202
4.29,0.318114287
4.3,0.317814339
4.31,0.317515363
4.32,0.317217368
4.33,0.316920329
4.34,0.316624232
4.35,0.316329102
4.36,0.316034924
4.37,0.315741678
4.38,0.315449375
4.39,0.315158005
4.4,0.31486757
4.41,0.314578061
4.42,0.314289469
4.43,0.314001792
4.44,0.313715027
4.45,0.313429168
4.46,0.313144221
4.47,0.312860163
4.48,0.312577
4.49,0.312294737
4.5,0.312013348
4.51,0.311732833
4.52,0.311453204
4.53,0.311174448
4.54,0.310896553
4.55,0.310619513
4.56,0.310343344
4.57,0.310068021
4.58,0.30979354
4.59,0.309519898
4.6,0.309247111
4.61,0.308975153
4.62,0.30870401
4.63,0.308433698
4.64,0.308164224
4.65,0.307895544
4.66,0.307627681
4.67,0.307360633
4.68,0.307094384
4.69,0.306828913
4.7,0.306564254
4.71,0.30630038
4.72,0.306037291
4.73,0.305774959
4.74,0.305513433
4.75,0.305252657
4.76,0.304992636
4.77,0.304733399
4.78,0.304474908
4.79,0.304217161
4.8,0.303960162
4.81,0.303703908
4.82,0.303448404
4.83,0.303193608
4.84,0.302939552
4.85,0.302686214
4.86,0.302433599
4.87,0.302181693
4.88,0.301930502
4.89,0.30168002
4.9,0.301430225
4.91,0.301181133
4.92,0.300932736
4.93,0.300685024
4.94,0.300437979
4.95,0.300191631
4.96,0.299945942
4.97,0.299700919
4.98,0.299456568
4.99,0.299212872
5,0.298969832
