Mach,CD
0.01,0.466643659
0.02,0.450663381
0.03,0.432800538
0.04,0.426660358
0.05,0.421656278
0.06,0.416983318
0.07,0.412729989
0.08,0.408876809
0.09,0.405374872
0.1,0.402186195
0.11,0.399264963
0.12,0.396575611
0.13,0.394088152
0.14,0.391777512
0.15,0.389622616
0.16,0.387605687
0.17,0.385711653
0.18,0.383927655
0.19,0.382242655
0.2,0.380647127
0.21,0.379132814
0.22,0.37769247
0.23,0.376319777
0.24,0.375009153
0.25,0.373755657
0.26,0.372707894
0.27,0.371708924
0.28,0.370755272
0.29,0.369843758
0.3,0.36897154
0.31,0.368136024
0.32,0.367334875
0.33,0.366784222
0.34,0.366879306
0.35,0.366974513
0.36,0.367069842
0.37,0.367165294
0.38,0.367260868
0.39,0.367356544
0.4,0.36745236
0.41,0.367548296
0.42,0.367644352
0.43,0.367740528
0.44,0.367836804
0.45,0.367933217
0.46,0.368029748
0.47,0.368126397
0.48,0.368223163
0.49,0.368320046
0.5,0.368417045
0.51,0.368514141
0.52,0.368611372
0.53,0.368708717
0.54,0.368806177
0.55,0.368903751
0.56,0.369001438
0.57,0.369099239
0.58,0.369197134
0.59,0.36929516
0.6,0.369393298
0.61,0.369768396
0.62,0.370133671
0.63,0.370499039
0.64,0.370864536
0.65,0.371230142
0.66,0.371595858
0.67,0.371961665
0.68,0.372327617
0.69,0.372693641
0.7,0.373059791
0.71,0.373426048
0.72,0.373792413
0.73,0.374158866
0.74,0.374525462
0.75,0.374892127
0.76,0.375258916
0.77,0.375625792
0.78,0.37599281
0.79,0.376359895
0.8,0.376727102
0.81,0.377094413
0.82,0.377461828
0.83,0.377829327
0.84,0.378196947
0.85,0.378564669
0.86,0.378932474
0.87,0.379300418
0.88,0.379668426
0.89,0.380036553
0.9,0.380404781
0.91,0.382991533
0.92,0.390751791
0.93,0.402176552
0.94,0.413385688
0.95,0.424594823
0.96,0.435803959
0.97,0.447013095
0.98,0.458222231
0.99,0.469431367
1,0.480640503
1.01,0.491849639
1.02,0.503058774
1.03,0.51426791
1.04,0.525477046
1.05,0.536686182
1.06,0.535348446
1.07,0.534026598
1.08,0.532720198
1.09,0.531428792
1.1,0.530152
1.11,0.528889376
1.12,0.527640594
1.13,0.526405289
1.14,0.525183075
1.15,0.523983505
1.16,0.522559835
1.17,0.52114693
1.18,0.519752473
1.19,0.51837548
1.2,0.517015328
1.21,0.515671443
1.22,0.514343352
1.23,0.513030647
1.24,0.511732945
1.25,0.510449921
1.26,0.509181267
1.27,0.507926642
1.28,0.506685843
1.29,0.505458565
1.3,0.504244571
1.31,0.503043626
1.32,0.501855504
1.33,0.500679983
1.34,0.499516862
1.35,0.49836596
1.36,0.497227054
1.37,0.496099774
1.38,0.494983496
1.39,0.493878072
1.4,0.492783331
1.41,0.491699183
1.42,0.490625437
1.43,0.489562012
1.44,0.488508757
1.45,0.487465548
1.46,0.486432285
1.47,0.485408838
1.48,0.484395092
1.49,0.483390926
1.5,0.482396255
1.51,0.48141096
1.52,0.480434947
1.53,0.479468093
1.54,0.478510334
1.55,0.477561547
1.56,0.476621648
1.57,0.475690533
1.58,0.474768134
1.59,0.473854367
1.6,0.472949123
1.61,0.472052344
1.62,0.471163916
1.63,0.470283812
1.64,0.469411897
1.65,0.468548159
1.66,0.467692454
1.67,0.466844759
1.68,0.466005008
1.69,0.465173092
1.7,0.464348988
1.71,0.463532615
1.72,0.462723915
1.73,0.461922809
1.74,0.461129263
1.75,0.460343203
1.76,0.459564581
1.77,0.458793346
1.78,0.458029423
1.79,0.457272802
1.8,0.456523376
1.81,0.455781155
1.82,0.455046038
1.83,0.454318031
1.84,0.45359705
1.85,0.45288306
1.86,0.452176052
1.87,0.451475942
1.88,0.450782719
1.89,0.450096325
1.9,0.449416763
1.91,0.448743934
1.92,0.448077843
1.93,0.447418484
1.94,0.446765762
1.95,0.445791486
1.96,0.444758944
1.97,0.443730405
1.98,0.442705768
1.99,0.441684953
2,0.440667918
2.01,0.439768299
2.02,0.438867381
2.03,0.437972153
2.04,0.437082573
2.05,0.43619849
2.06,0.435319882
2.07,0.434446657
2.08,0.433578704
2.09,0.432715976
2.1,0.431858392
2.11,0.431005877
2.12,0.430158347
2.13,0.42931577
2.14,0.428478038
2.15,0.427645108
2.16,0.426816925
2.17,0.425993402
2.18,0.425174485
2.19,0.424360138
2.2,0.423550281
2.21,0.422744855
2.22,0.421943811
2.23,0.421147109
2.24,0.42035468
2.25,0.419566486
2.26,0.418782467
2.27,0.418002578
2.28,0.417226776
2.29,0.416455022
2.3,0.415687238
2.31,0.414923409
2.32,0.414163501
2.33,0.413407448
2.34,0.412655234
2.35,0.411906785
2.36,0.411162083
2.37,0.410421102
2.38,0.40968378
2.39,0.4089501
2.4,0.408220012
2.41,0.407493502
2.42,0.406770515
2.43,0.406051044
2.44,0.405335015
2.45,0.40462242
2.46,0.403913246
2.47,0.403207436
2.48,0.40250499
2.49,0.401805829
2.5,0.401109968
2.51,0.400417366
2.52,0.399728007
2.53,0.399041836
2.54,0.398358865
2.55,0.397679038
2.56,0.39700233
2.57,0.396328746
2.58,0.395658231
2.59,0.394990781
2.6,0.39432636
2.61,0.393664937
2.62,0.393006537
2.63,0.392351077
2.64,0.391698583
2.65,0.391049004
2.66,0.390402348
2.67,0.389758561
2.68,0.389117633
2.69,0.38847957
2.7,0.387844332
2.71,0.387211899
2.72,0.386582249
2.73,0.385955381
2.74,0.385331264
2.75,0.384709887
2.76,0.384091222
2.77,0.383475259
2.78,0.382861997
2.79,0.382251376
2.8,0.381643447
2.81,0.38103813
2.82,0.380435437
2.83,0.379835348
2.84,0.379237855
2.85,0.37864294
2.86,0.378050583
2.87,0.377460774
2.88,0.376873486
2.89,0.376288732
2.9,0.375706471
2.91,0.375126709
2.92,0.374549424
2.93,0.37397459
2.94,0.373402211
2.95,0.372832265
2.96,0.372264747
2.97,0.371699628
2.98,0.371136924
2.99,0.370576593
3,0.370018642
3.01,0.369538189
3.02,0.369059213
3.03,0.368581729
3.04,0.368105726
3.05,0.36763121
3.06,0.367158159
3.07,0.366686589
3.08,0.366216479
3.09,0.365747853
3.1,0.365280672
3.11,0.364814969
3.12,0.364350715
3.13,0.363887913
3.14,0.363426565
3.15,0.36296667
3.16,0.36250821
3.17,0.362051199
3.18,0.361595628
3.19,0.361141497
3.2,0.360688797
3.21,0.360237524
3.22,0.359787682
3.23,0.359339266
3.24,0.358892258
3.25,0.358446667
3.26,0.358002515
3.27,0.357559765
3.28,0.357118413
3.29,0.356678463
3.3,0.356239926
3.31,0.355802781
3.32,0.355367039
3.33,0.35493268
3.34,0.354499718
3.35,0.354068119
