Mach,CD
0.01,0.460970107
0.02,0.44551129
0.03,0.427945769
0.04,0.422008619
0.05,0.41715669
0.06,0.412604432
0.07,0.40845057
0.08,0.40468161
0.09,0.401252469
0.1,0.398127719
0.11,0.395263386
0.12,0.392625171
0.13,0.390184118
0.14,0.387915865
0.15,0.385799971
0.16,0.383819113
0.17,0.381958585
0.18,0.380205872
0.19,0.378550185
0.2,0.376982214
0.21,0.375493873
0.22,0.374078091
0.23,0.372728694
0.24,0.371440208
0.25,0.370207782
0.26,0.369180132
0.27,0.368200406
0.28,0.367265159
0.29,0.366371296
0.3,0.365515993
0.31,0.364696775
0.32,0.36391132
0.33,0.363398076
0.34,0.363494104
0.35,0.363590253
0.36,0.363686504
0.37,0.363782893
0.38,0.363879403
0.39,0.363976031
0.4,0.364072779
0.41,0.364169644
0.42,0.364266628
0.43,0.36436371
0.44,0.364460928
0.45,0.364558262
0.46,0.364655712
0.47,0.364753278
0.48,0.364850959
0.49,0.364948755
0.5,0.365046646
0.51,0.36514467
0.52,0.365242807
0.53,0.365341057
0.54,0.36543942
0.55,0.365537895
0.56,0.365636482
0.57,0.365735161
0.58,0.36583397
0.59,0.365932889
0.6,0.366031918
0.61,0.366407905
0.62,0.366774067
0.63,0.36714032
0.64,0.3675067
0.65,0.367873187
0.66,0.368239783
0.67,0.368606485
0.68,0.368973294
0.69,0.369340192
0.7,0.369707213
0.71,0.370074341
0.72,0.370441574
0.73,0.370808911
0.74,0.371176353
0.75,0.371543881
0.76,0.371911531
0.77,0.372279284
0.78,0.37264714
0.79,0.373015099
0.8,0.373383142
0.81,0.373751323
0.82,0.374119569
0.83,0.374487935
0.84,0.374856401
0.85,0.375224968
0.86,0.375593616
0.87,0.375962402
0.88,0.376331249
0.89,0.376700214
0.9,0.377069277
0.91,0.379633348
0.92,0.387325562
0.93,0.39871749
0.94,0.409963026
0.95,0.421208562
0.96,0.432454098
0.97,0.443699634
0.98,0.454945171
0.99,0.466190707
1,0.477436243
